LL Time (9/6/16),LL rate (mm/hr),Rain Guage Time,Rain Gauge rate (mm/hr)
09/06/16 14:17,0,09/06/16 14:00,0
09/06/16 14:27,3.863910819,09/06/16 14:05,0
09/06/16 14:37,0,09/06/16 14:10,0
09/06/16 14:47,7.727821638,09/06/16 14:15,0
09/06/16 14:57,0,09/06/16 14:20,0
09/06/16 15:07,3.863910819,09/06/16 14:25,0
09/06/16 15:17,10.81895029,09/06/16 14:30,12
09/06/16 15:27,11.59173246,09/06/16 14:35,18
09/06/16 15:37,7.727821638,09/06/16 14:40,7.2
09/06/16 15:47,3.091128655,09/06/16 14:45,13.2
09/06/16 15:57,3.863910819,09/06/16 14:50,14.4
09/06/16 16:07,7.727821638,09/06/16 14:55,4.8
09/06/16 16:17,14.68286111,09/06/16 15:00,4.8
09/06/16 16:27,15.45564328,09/06/16 15:05,19.2
09/06/16 16:37,6.955039474,09/06/16 15:10,18
09/06/16 16:47,0,09/06/16 15:15,10.8
,,09/06/16 15:20,13.2
,,09/06/16 15:25,12
,,09/06/16 15:30,13.2
,,09/06/16 15:35,7.2
,,09/06/16 15:40,3.6
,,09/06/16 15:45,3.6
,,09/06/16 15:50,2.4
,,09/06/16 15:55,4.8
,,09/06/16 16:00,4.8
,,09/06/16 16:05,7.2
,,09/06/16 16:10,9.6
,,09/06/16 16:15,26.4
,,09/06/16 16:20,24
,,09/06/16 16:25,27.6
,,09/06/16 16:30,27.6
,,09/06/16 16:35,24
,,09/06/16 16:40,2.4
,,09/06/16 16:45,1.2
,,09/06/16 16:50,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
