Site Name ,FORESTUPPER
Site Number ,1
Logger ,Capacitive Water Level
Logger Serial Number ,6571


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

136,06/11/2016 , 22:21:18,910,287.4
137,06/11/2016 , 22:21:28,910,287.4
138,06/11/2016 , 22:21:38,910,287.4
139,06/11/2016 , 22:21:48,926,295.1
140,06/11/2016 , 22:21:58,926,295.1
141,06/11/2016 , 22:22:08,926,295.1
142,06/11/2016 , 22:22:18,941,302.4
143,06/11/2016 , 22:22:28,941,302.4
144,06/11/2016 , 22:22:38,941,302.4
145,06/11/2016 , 22:22:48,957,310.2
146,06/11/2016 , 22:22:58,957,310.2
147,06/11/2016 , 22:23:08,957,310.2
148,06/11/2016 , 22:23:18,957,310.2
149,06/11/2016 , 22:23:28,957,310.2
150,06/11/2016 , 22:23:38,957,310.2
151,06/11/2016 , 22:23:48,444,61.2
152,06/11/2016 , 22:23:58,440,59.2
153,06/11/2016 , 22:24:08,439,58.7
154,06/11/2016 , 22:24:18,439,58.7
155,06/11/2016 , 22:24:28,445,61.7
